SEQN,RIDAGEYR,RIDRETH3
94700,10,1
94701,16,4
94702,17,4
94703,10,3
94704,80,4
94705,62,7
94706,43,6
94707,80,3
94708,41,3
94709,6,3
94710,35,4
94711,64,3
94712,1,3
94713,56,4
94714,1,4
94715,4,4
94716,76,3
94717,6,1
94718,3,3
94719,56,1
94720,22,4
94721,30,2
94722,11,3
94723,18,3
94724,80,3
94725,56,3
94726,46,3
94727,17,4
94728,3,6
94729,37,4
94730,62,1
94731,44,4
94732,45,4
94733,10,3
94734,8,3
94735,45,2
94736,51,6
94737,32,4
94738,4,3
94739,57,3
94740,46,6
94741,3,4
94742,10,3
94743,13,3
94744,43,4
94745,19,3
94746,34,4
94747,59,3
94748,51,4
94749,13,4
94750,80,3
94751,9,7
94752,73,3
94753,74,6
94754,65,3
94755,74,2
94756,72,3
94757,19,2
94758,34,6
94759,6,2
94760,74,4
94761,24,6
94762,4,3
94763,43,4
94764,43,4
94765,55,3
94766,42,4
94767,69,7
94768,80,3
94769,8,3
94770,0,4
94771,42,3
94772,17,7
94773,32,1
94774,17,3
94775,26,4
94776,72,2
94777,80,3
94778,9,3
94779,80,3
94780,74,1
94781,9,6
94782,16,3
94783,28,6
94784,4,3
94785,55,6
94786,24,3
94787,19,1
94788,53,6
94789,8,4
94790,0,4
94791,12,3
94792,66,6
94793,40,1
94794,0,3
94795,27,1
94796,0,1
94797,66,6
94798,80,6
94799,17,1
94800,6,3
94801,45,4
94802,22,2
94803,31,1
94804,16,4
94805,62,7
94806,55,2
94807,12,1
94808,41,4
94809,79,1
94810,56,7
94811,68,4
94812,46,6
94813,62,6
94814,11,1
94815,1,4
94816,18,3
94817,1,6
94818,76,1
94819,32,1
94820,16,4
94821,15,6
94822,11,4
94823,1,4
94824,2,3
94825,6,7
94826,66,4
94827,9,4
94828,2,4
94829,80,3
94830,0,3
94831,64,3
94832,71,3
94833,15,1
94834,62,3
94835,59,3
94836,71,3
94837,33,1
94838,78,4
94839,4,3
94840,16,3
94841,14,2
94842,12,1
94843,3,3
94844,36,3
94845,0,2
94846,4,4
94847,80,4
94848,32,2
94849,0,7
94850,46,3
94851,8,6
94852,33,1
94853,2,2
94854,52,3
94855,54,4
94856,77,3
94857,35,2
94858,44,3
94859,14,3
94860,33,4
94861,56,4
94862,53,6
94863,51,2
94864,16,2
94865,11,4
94866,11,1
94867,55,3
94868,59,2
94869,2,3
94870,13,4
94871,69,3
94872,80,3
94873,21,1
94874,18,3
94875,16,3
94876,17,6
94877,71,1
94878,37,4
94879,48,7
94880,31,3
94881,14,6
94882,55,6
94883,59,4
94884,7,1
94885,64,4
94886,19,1
94887,80,3
94888,12,4
94889,41,1
94890,57,3
94891,40,4
94892,61,3
94893,48,7
94894,50,3
94895,23,2
94896,50,4
94897,4,4
94898,74,3
94899,32,4
94900,12,1
94901,13,3
94902,67,6
94903,49,4
94904,6,3
94905,19,3
94906,46,3
94907,80,3
94908,56,4
94909,59,3
94910,18,3
94911,11,3
